Tm,Team,Pts,Yds,Plays,Y/P,TO,1stD,Cmp,PAtt,PYds,PTD,Int,1stD,RAtt,RYds,RTD,Y/A,1stD,Pen,TO%,EXP
Atlanta Falcons,ATL,540,6653,995,6.7,11,379,374,537,4725,38,7,239,421,1928,20,4.6,108,104,6.3,299.18
New Orleans Saints,NO,469,6816,1105,6.2,24,395,472,674,5074,38,15,265,404,1742,17,4.3,105,107,12.7,181.68
New England Patriots,NE,441,6180,1056,5.9,11,351,368,550,4308,32,2,203,482,1872,19,3.9,109,93,4.9,217.74
Green Bay Packers,GB,432,5900,1029,5.7,17,349,403,620,4199,40,8,222,374,1701,11,4.5,91,100,9.1,213.84
Dallas Cowboys,DAL,421,6027,1010,6,15,358,325,483,3631,25,6,191,499,2396,24,4.8,142,105,8.7,181.38
Arizona Cardinals,ARZ,418,5868,1086,5.4,28,368,383,646,4136,28,17,229,399,1732,20,4.3,97,104,14.2,53.88
Oakland Raiders,OAK,416,5973,1048,5.7,14,333,379,596,4051,29,7,198,434,1922,17,4.4,98,147,7.2,66.08
Indianapolis Colts,IND,411,5830,1037,5.6,22,351,370,584,4202,32,15,220,409,1628,13,4,93,103,12.2,89.3
San Diego Chargers,SD,410,5708,1014,5.6,35,340,349,580,4198,33,21,214,398,1510,10,3.8,90,107,18.2,44.64
Pittsburgh Steelers,PIT,399,5962,1026,5.8,18,336,381,596,4202,33,15,210,409,1760,13,4.3,97,112,9.9,122.31
Buffalo Bills,BUF,399,5666,1012,5.6,12,328,286,474,3036,17,7,155,492,2630,29,5.3,146,112,6.8,110.41
Washington Redskins,WAS,396,6454,1009,6.4,21,345,407,607,4758,25,12,226,379,1696,17,4.5,89,110,11.4,140.96
Kansas City Chiefs,KC,389,5488,990,5.5,17,305,365,546,3740,19,8,197,412,1748,15,4.2,86,109,9,33.53
Tennessee Titans,TEN,381,5728,1008,5.7,18,322,307,504,3541,29,11,175,476,2187,16,4.6,115,110,9.8,68.28
Carolina Panthers,CAR,369,5499,1052,5.2,29,318,306,563,3685,21,19,194,453,1814,16,4,99,98,14,-5
Philadelphia Eagles,PHI,367,5398,1080,5,20,333,380,609,3585,16,14,192,438,1813,16,4.1,114,113,11.2,10.08
Miami Dolphins,MIA,363,5324,913,5.8,23,278,316,477,3500,27,15,167,406,1824,14,4.5,90,125,11.1,23.16
Seattle Seahawks,SEA,354,5715,1012,5.6,18,313,368,567,4124,23,12,203,403,1591,13,3.9,85,117,9.7,72.17
Tampa Bay Buccaneers,TB,354,5542,1066,5.2,27,340,355,578,3926,29,18,220,453,1616,8,3.6,80,109,14.8,31.47
Detroit Lions,DET,346,5421,981,5.5,15,329,388,594,4111,24,10,217,350,1310,9,3.7,76,100,9,93.08
Baltimore Ravens,BLT,343,5563,1079,5.2,23,316,439,679,4100,20,16,205,367,1463,10,4,79,125,10.5,-21.79
Denver Broncos,DEN,333,5169,1020,5.1,25,290,339,570,3685,20,11,181,410,1484,11,3.6,76,119,11.6,-36.87
Minnesota Vikings,MIN,327,5041,1006,5,16,303,414,588,3836,20,5,209,380,1205,9,3.2,66,103,7.5,0.5
Cincinnati Bengals,CIN,325,5711,1050,5.4,17,341,364,563,3942,18,8,204,446,1769,17,4,100,88,8.5,95.82
Jacksonville Jaguars,JAX,318,5359,1052,5.1,29,321,369,626,3728,24,16,207,392,1631,8,4.2,75,129,13.6,-18.17
New York Giants,NYG,310,5291,1018,5.2,27,289,377,598,3879,26,16,190,398,1412,6,3.5,73,88,13,-46.11
San Francisco 49ers,SF,309,4930,996,4.9,25,287,287,491,2911,21,10,152,458,2019,15,4.4,116,99,10.7,-37.57
Chicago Bears,CHI,279,5704,967,5.9,31,324,347,559,3969,19,19,212,380,1735,10,4.6,93,110,17.4,7.05
Houston Texans,HST,279,5035,1071,4.7,24,305,347,583,3176,15,16,173,456,1859,8,4.1,102,87,11.4,-71.03
New York Jets,NYJ,275,5268,1003,5.3,34,291,311,550,3466,16,25,166,418,1802,10,4.3,97,93,17.8,-38.59
Cleveland Browns,CLV,264,4976,983,5.1,25,296,338,567,3264,15,14,181,350,1712,13,4.9,83,95,13.3,-6
Los Angeles Rams,LA,224,4203,960,4.4,29,245,312,536,2951,14,20,151,375,1252,9,3.3,68,126,14.5,-167.19
